ra,ano,genero,tempo_pm,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_port,nota_ing,defasagem,fase,idade,delta_inde,delta_iaa,delta_ieg,delta_ips,delta_ipp,delta_ida,delta_ipv,delta_ian,delta_defasagem,piora_defasagem,evasao
RA-1,2022,F,6,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,2.7,3.5,6.0,-1,7.0,19.0,,,,,,,,,,0.0,0.0
RA-1,2023,F,7,,,,,,,,10.0,,,,0,8.0,20.0,,,,,,,,5.0,1.0,0.0,0.0
RA-10,2022,F,1,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,3.3,2.6,6.4,-1,7.0,18.0,,,,,,,,,,,1.0
RA-100,2022,F,3,7.618,8.8,7.8,5.0,,7.6,7.25,10.0,7.0,7.8,8.1,1,4.0,13.0,,,,,,,,,,,1.0
RA-1000,2023,F,0,7.9162,8.5,9.4,3.77,6.25,7.0,8.92,10.0,7.0,7.0,,0,0.0,8.0,,,,,,,,,,0.0,0.0
RA-1001,2023,F,0,8.1162,9.0,9.1,7.52,7.5,7.8,9.17,5.0,8.3,7.3,,-1,0.0,9.0,,,,,,,,,,0.0,0.0
RA-1002,2023,F,0,7.9012,9.0,9.7,7.52,6.25,7.0,8.92,5.0,7.0,7.0,,-1,0.0,9.0,,,,,,,,,,0.0,0.0
RA-1003,2023,M,0,7.6522,9.0,8.5,7.52,7.5,4.0,8.75,10.0,8.0,0.0,,0,0.0,8.0,,,,,,,,,,1.0,0.0
RA-1004,2023,F,0,8.3137,9.0,9.6,7.52,6.875,7.9,7.42,10.0,6.5,9.2,,0,0.0,8.0,,,,,,,,,,1.0,0.0
RA-1005,2023,M,0,8.4252,9.5,7.9,7.52,7.5,8.8,8.165,10.0,8.4,9.2,,0,0.0,8.0,,,,,,,,,,,1.0
RA-1006,2023,F,0,8.5922,9.0,9.3,7.52,7.5,8.7,8.0,10.0,8.7,8.6,,0,0.0,8.0,,,,,,,,,,1.0,0.0
RA-1007,2023,M,0,8.0782,9.0,7.4,7.52,7.5,8.3,7.68,10.0,8.1,8.5,,0,0.0,8.0,,,,,,,,,,,1.0
RA-1008,2023,M,0,8.13595,9.0,8.6,7.52,5.9375,8.4,7.5,10.0,7.5,9.2,,0,0.0,8.0,,,,,,,,,,1.0,0.0
RA-1009,2023,M,0,7.245,0.0,9.0,3.77,7.5,8.8,7.84,10.0,8.3,9.2,,0,0.0,8.0,,,,,,,,,,1.0,0.0
RA-101,2022,F,1,7.305,7.9,8.3,7.5,,7.6,6.833,5.0,7.2,6.5,9.2,-1,4.0,15.0,,,,,,,,,,,1.0
RA-1010,2023,M,0,8.70645,9.5,10.0,3.77,7.8125,9.4,8.59,10.0,9.0,9.8,,0,0.0,8.0,,,,,,,,,,,1.0
RA-1011,2023,M,0,7.33095,9.5,8.6,3.77,7.1875,5.2,7.675,10.0,5.5,4.8,,0,0.0,7.0,,,,,,,,,,,1.0
RA-1012,2023,F,0,7.96495,10.0,9.9,3.77,7.1875,6.6,7.845,10.0,7.0,6.2,,0,0.0,8.0,,,,,,,,,,1.0,0.0
RA-1013,2023,M,0,7.6237,9.0,9.6,4.39,5.625,8.3,5.76,10.0,7.0,9.5,,0,0.0,7.0,,,,,,,,,,1.0,0.0
