ra,turma,genero,ano_ingresso,instituicao_ensino,pedra,inde,cg,cf,ct,iaa,ieg,ips,ida,nota_mat,nota_port,nota_ing,indicado,atingiu_pv,ipv,ian,defasagem,destaque_ieg,destaque_ida,destaque_ipv,idade,fase,ano,ipp,piora_defasagem,evasao
RA-1,A,F,2016,Escola Pública,Quartzo,5.783,753.0,18.0,10.0,8.3,4.1,5.6,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,19.0,7.0,2022,,0,0
RA-1,8E,F,2016,Privada *Parcerias com Bolsa 100%,,,,,,,,,,,,,,,,10.0,0,,,,20.0,8.0,2023,,0,0
RA-1,8E,F,2021,Privada *Parcerias com Bolsa 100%,,,,,,,0.0,,,,,,,,,10.0,0,,,,21.0,8.0,2024,,,
RA-10,A,F,2021,Escola Pública,Quartzo,5.784,752.0,17.0,9.0,8.3,5.2,5.0,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,18.0,7.0,2022,,,1
RA-100,A,F,2019,Rede Decisão,Ametista,7.618,268.0,22.0,7.0,8.8,7.8,5.0,7.6,7.0,7.8,8.1,Não,Não,7.25,10.0,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,13.0,4.0,2022,,,1
RA-1000,ALFA U - G2/G3,F,2023,Pública,Ametista,7.9162,,,,8.5,9.4,3.77,7.0,7.0,7.0,,,,8.92,10.0,0,,,,8.0,0.0,2023,6.25,0,0
RA-1000,1N,F,2023,Pública,Topázio,8.364790909100002,,,,9.002,9.5454545455,6.26,7.75,7.5,8.0,,,,7.835,10.0,0,,,,9.0,1.0,2024,8.125,,
RA-1001,ALFA U - G2/G3,F,2023,Pública,Topázio,8.1162,,,,9.0,9.1,7.52,7.8,8.3,7.3,,,,9.17,5.0,-1,,,,9.0,0.0,2023,7.5,0,0
RA-1001,1N,F,2023,Pública,Ametista,7.7964318841,,,,7.502,9.347826087,7.51,7.75,6.5,9.0,,,,7.92,5.0,-1,,,,10.0,1.0,2024,7.916666667,,
RA-1002,ALFA U - G2/G3,F,2023,Pública,Ametista,7.9012,,,,9.0,9.7,7.52,7.0,7.0,7.0,,,,8.92,5.0,-1,,,,9.0,0.0,2023,6.25,0,0
RA-1002,ALFA N - G2/G3,F,2023,Pública,Ametista,7.967866666700001,,,,9.002,7.833333333500001,7.51,9.25,10.0,8.5,,,,8.25,5.0,-1,,,,10.0,0.0,2024,7.5,,
RA-1003,ALFA V - G0/G1,M,2023,Pública,Ametista,7.6522,,,,9.0,8.5,7.52,4.0,8.0,0.0,,,,8.75,10.0,0,,,,8.0,0.0,2023,7.5,1,0
RA-1003,ALFA J - G2/G3,M,2023,Pública,Ametista,7.627588888900001,,,,8.002,8.6944444445,7.51,8.25,10.0,6.5,,,,7.5,5.0,-1,,,,9.0,0.0,2024,6.875,,
RA-1004,ALFA V - G0/G1,F,2023,Pública,Topázio,8.3137,,,,9.0,9.6,7.52,7.9,6.5,9.2,,,,7.42,10.0,0,,,,8.0,0.0,2023,6.875,1,0
RA-1004,ALFA J - G2/G3,F,2023,Pública,Ametista,7.801200000000001,,,,9.502,9.25,7.51,7.5,7.5,7.5,,,,7.5,5.0,-1,,,,9.0,0.0,2024,7.5,,
RA-1005,ALFA V - G0/G1,M,2023,Pública,Topázio,8.4252,,,,9.5,7.9,7.52,8.8,8.4,9.2,,,,8.165,10.0,0,,,,8.0,0.0,2023,7.5,,1
RA-1006,ALFA V - G0/G1,F,2023,Pública,Topázio,8.5922,,,,9.0,9.3,7.52,8.7,8.7,8.6,,,,8.0,10.0,0,,,,8.0,0.0,2023,7.5,1,0
RA-1006,ALFA J - G2/G3,F,2023,Pública,Ametista,7.040088888900001,,,,8.502,8.4444444445,7.51,5.0,5.0,5.0,,,,7.5,5.0,-1,,,,9.0,0.0,2024,7.5,,
RA-1007,ALFA V - G0/G1,M,2023,Pública,Topázio,8.0782,,,,9.0,7.4,7.52,8.3,8.1,8.5,,,,7.68,10.0,0,,,,8.0,0.0,2023,7.5,,1
RA-1008,ALFA V - G0/G1,M,2023,Pública,Topázio,8.13595,,,,9.0,8.6,7.52,8.4,7.5,9.2,,,,7.5,10.0,0,,,,8.0,0.0,2023,5.9375,1,0
RA-1008,ALFA I - G2/G3,M,2023,Pública,Agata,6.8667414438000005,,,,7.002,6.483957219,7.51,7.0,6.5,7.5,,,,7.5,5.0,-1,,,,9.0,0.0,2024,7.1875,,
RA-1009,ALFA Y - G0/G1,M,2023,Pública,Ametista,7.245,,,,0.0,9.0,3.77,8.8,8.3,9.2,,,,7.84,10.0,0,,,,8.0,0.0,2023,7.5,1,0
RA-1009,ALFA E - G2/G3,M,2023,Pública,Agata,6.395389393900001,,,,8.002,6.8863636365000005,2.51,7.5,10.0,5.0,,,,6.553333333,5.0,-1,,,,9.0,0.0,2024,6.5625,,
RA-101,A,F,2021,Escola Pública,Ametista,7.305,387.0,31.0,8.0,7.9,8.3,7.5,7.6,7.2,6.5,9.2,Sim,Não,6.833,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,15.0,4.0,2022,,,1
