ra,ano,risco_evasao,driver_evasao,risco_defasagem,driver_defasagem
RA-1,2023,0.17389609,academico,0.11082178,academico
RA-1000,2023,0.32811227,academico,0.48176202,academico
RA-1001,2023,0.10002966,academico,0.011186383,academico
RA-1002,2023,0.18576927,engajamento,0.12013968,psicopedagogico
RA-1003,2023,0.15586753,engajamento,0.1065234,academico
RA-1004,2023,0.009466744,academico,0.98524356,academico
RA-1005,2023,0.57661337,academico,,
RA-1006,2023,0.4884228,academico,0.83598477,academico
RA-1007,2023,0.40731424,academico,,
RA-1008,2023,0.019568082,academico,0.80854636,academico
RA-1009,2023,0.13232282,engajamento,0.36417115,academico
RA-1010,2023,0.29540664,academico,,
RA-1011,2023,0.12181379,contexto,,
RA-1012,2023,0.21630555,engajamento,0.91117156,academico
RA-1013,2023,0.008193821,academico,0.3473333,academico
RA-1014,2023,0.04065114,academico,0.15588157,academico
RA-1015,2023,0.39459997,academico,0.0074658603,contexto
RA-1016,2023,0.52868164,academico,,
RA-1017,2023,0.46251625,academico,0.049916357,academico
RA-1018,2023,0.09472332,engajamento,0.8259536,academico
RA-1019,2023,0.2634591,contexto,0.88800436,academico
RA-1020,2023,0.4655845,academico,0.7667934,academico
RA-1021,2023,0.35503182,academico,0.82431865,academico
RA-1022,2023,0.37871704,engajamento,0.87797624,academico
RA-1023,2023,0.3849148,academico,0.14556749,academico
RA-1024,2023,0.13051519,engajamento,0.0040809917,academico
RA-1025,2023,0.066575326,academico,0.22666946,academico
RA-1026,2023,0.28243765,academico,,
RA-1027,2023,0.23704363,engajamento,0.0071168006,academico
RA-1028,2023,0.18717884,engajamento,0.04264307,academico
RA-1029,2023,0.82318443,engajamento,0.7352221,academico
RA-103,2023,0.022969155,academico,0.17594267,academico
RA-1030,2023,0.17173645,engajamento,0.07349704,academico
RA-1031,2023,0.47772983,engajamento,0.049774487,contexto
RA-1032,2023,0.4737421,contexto,0.16758017,academico
RA-1033,2023,0.13716961,academico,,
RA-1034,2023,0.1751883,academico,0.0024126137,academico
RA-1035,2023,0.12410635,engajamento,0.92764586,academico
RA-1036,2023,0.09474056,engajamento,0.008136503,academico
RA-1037,2023,0.4932515,academico,,
RA-1038,2023,0.4442409,engajamento,0.004573243,academico
RA-1039,2023,0.09135714,engajamento,0.0014677073,academico
RA-104,2023,0.24835366,academico,,
RA-1040,2023,0.28480014,academico,0.014392188,academico
RA-1041,2023,0.2974996,academico,,
RA-1042,2023,0.37484628,engajamento,,
RA-1043,2023,0.29106945,academico,0.03414995,academico
RA-1044,2023,0.095407106,engajamento,0.0068142307,contexto
RA-1045,2023,0.11253596,academico,,
RA-1046,2023,0.10788837,engajamento,,
RA-1047,2023,0.4370286,engajamento,,
RA-1048,2023,0.16790126,academico,0.014747926,academico
RA-1049,2023,0.5890797,contexto,0.0075343475,academico
RA-1050,2023,0.21139835,academico,,
RA-1051,2023,0.34444565,academico,,
RA-1052,2023,0.18689738,engajamento,0.86401266,academico
RA-1053,2023,0.13680437,academico,,
RA-1054,2023,0.5146721,academico,0.0013246584,academico
RA-1055,2023,0.24600565,academico,0.2209026,academico
RA-1056,2023,0.17287692,engajamento,0.6838808,academico
RA-1057,2023,0.35928732,engajamento,0.8936359,academico
RA-1058,2023,0.76363146,academico,0.8774756,academico
RA-1059,2023,0.08461756,engajamento,0.004757762,academico
RA-106,2023,0.10587617,academico,0.1260958,academico
RA-1060,2023,0.35364252,engajamento,0.019918393,psicopedagogico
RA-1061,2023,0.020874804,academico,0.0057214485,academico
RA-1062,2023,0.450635,academico,0.69503313,academico
RA-1063,2023,0.7224706,engajamento,0.08880189,academico
RA-1064,2023,0.04352433,engajamento,0.0031056863,academico
RA-1065,2023,0.037913624,academico,0.012353333,academico
RA-1066,2023,0.62954926,academico,0.0031973685,academico
RA-1067,2023,0.4313523,engajamento,0.006486555,contexto
RA-1068,2023,0.07797466,academico,0.0022133747,academico
RA-1069,2023,0.6105722,academico,0.02176914,academico
RA-107,2023,0.11306518,contexto,0.16128708,academico
RA-1070,2023,0.48907286,academico,0.13394341,psicopedagogico
RA-1071,2023,0.2233703,academico,0.22847745,academico
RA-1072,2023,0.22265181,academico,0.16730022,academico
RA-1073,2023,0.15597911,engajamento,0.008823065,contexto
RA-1074,2023,0.14300625,engajamento,,
RA-1075,2023,0.16969171,engajamento,0.026761513,contexto
RA-1076,2023,0.16834342,engajamento,0.0022415856,academico
RA-1077,2023,0.050860472,engajamento,0.48585358,academico
RA-1078,2023,0.22164114,engajamento,,
RA-1079,2023,0.16437814,academico,0.067805044,academico
RA-108,2023,0.057045233,academico,,
RA-1080,2023,0.060194768,academico,,
RA-1081,2023,0.16155104,engajamento,0.00621633,academico
RA-1082,2023,0.58417875,academico,0.05812177,contexto
RA-1083,2023,0.037061825,engajamento,,
RA-1084,2023,0.18233985,academico,0.24725848,academico
RA-1085,2023,0.08277915,engajamento,,
RA-1086,2023,0.54177296,academico,,
RA-1087,2023,0.48448837,psicopedagogico,0.038692877,contexto
RA-1088,2023,0.23443569,engajamento,,
RA-1089,2023,0.17365673,academico,0.5247303,academico
RA-109,2023,0.010492526,academico,,
RA-1090,2023,0.13746278,engajamento,0.007874885,academico
RA-1091,2023,0.050043993,academico,,
RA-1092,2023,0.10200822,engajamento,,
RA-1093,2023,0.09464936,academico,0.11745671,academico
RA-1094,2023,0.09094748,academico,0.13796172,academico
RA-1095,2023,0.08643426,engajamento,0.051022965,academico
RA-1096,2023,0.093764596,engajamento,0.06595452,academico
RA-1097,2023,0.37042657,academico,0.08399248,academico
RA-1098,2023,0.44823474,academico,0.073516354,academico
RA-1099,2023,0.2001597,engajamento,0.13953145,academico
RA-110,2023,0.01550618,academico,0.0204862,academico
RA-1100,2023,0.08868917,academico,0.34156117,academico
RA-1101,2023,0.39069363,academico,,
RA-1102,2023,0.16289037,academico,0.95431626,academico
RA-1103,2023,0.20465642,engajamento,0.34334934,academico
RA-1104,2023,0.18237823,engajamento,,
RA-1105,2023,0.2797126,engajamento,,
RA-1106,2023,0.3127508,psicopedagogico,0.045061164,contexto
RA-1107,2023,0.27719107,engajamento,0.0014645563,academico
RA-1108,2023,0.14174035,engajamento,0.010217933,contexto
RA-1109,2023,0.8987505,engajamento,,
RA-111,2023,0.068143584,engajamento,0.22746034,academico
RA-1110,2023,0.18359862,engajamento,,
RA-1111,2023,0.2681017,engajamento,0.44734004,academico
RA-1112,2023,0.5732082,academico,0.034395576,academico
RA-1113,2023,0.81074405,engajamento,,
RA-1114,2023,0.3169952,engajamento,0.7048679,academico
RA-1115,2023,0.2651346,engajamento,0.56362665,academico
RA-1116,2023,0.5618374,academico,0.44638652,academico
RA-1117,2023,0.05426366,engajamento,0.7429015,academico
RA-1118,2023,0.11576004,engajamento,0.0034299705,contexto
RA-1119,2023,0.1848612,engajamento,0.042597994,academico
RA-112,2023,0.066837005,contexto,0.0016260095,academico
RA-1120,2023,0.12635578,academico,,
RA-1121,2023,0.015488299,academico,0.2356097,academico
RA-1122,2023,0.4943442,academico,0.19433057,academico
RA-1123,2023,0.3115134,academico,,
RA-1124,2023,0.29461205,academico,,
RA-1125,2023,0.25418907,academico,,
RA-1126,2023,0.77968866,academico,,
RA-1127,2023,0.18142354,academico,0.28542712,academico
RA-1128,2023,0.53317505,academico,,
RA-1129,2023,0.22622606,academico,0.60492855,academico
RA-1130,2023,0.055786546,academico,0.7899922,academico
RA-1131,2023,0.033624187,academico,0.0020380635,academico
RA-1132,2023,0.91802144,engajamento,,
RA-1133,2023,0.25634876,engajamento,0.10743274,academico
RA-1134,2023,0.31628048,engajamento,0.8912541,academico
RA-1135,2023,0.22066379,academico,,
RA-1136,2023,0.34913117,engajamento,0.01910789,academico
RA-1137,2023,0.2685288,engajamento,0.13370371,academico
RA-1138,2023,0.07484212,academico,,
RA-1139,2023,0.2718068,academico,0.49076152,academico
RA-114,2023,0.75302064,engajamento,,
RA-1140,2023,0.41456106,engajamento,0.22227842,academico
RA-1141,2023,0.6138115,academico,0.22037625,academico
RA-1142,2023,0.25558802,engajamento,0.17627601,academico
RA-1143,2023,0.6395283,academico,0.021629173,academico
RA-1144,2023,0.059114035,academico,,
RA-1145,2023,0.2565026,academico,,
RA-1146,2023,0.1573129,academico,0.48764342,academico
RA-1147,2023,0.68236005,academico,0.17626378,academico
RA-1148,2023,0.54949164,academico,,
RA-1149,2023,0.0877501,engajamento,0.021570856,academico
RA-115,2023,0.20498657,academico,0.28118944,academico
RA-1150,2023,0.25485802,engajamento,0.0053536333,academico
RA-1151,2023,0.20858248,academico,0.048749313,academico
RA-1152,2023,0.32545742,engajamento,,
RA-1153,2023,0.02663426,academico,0.0016360056,academico
RA-1154,2023,0.25898996,academico,0.23542206,academico
RA-1155,2023,0.036706787,academico,0.0030310105,academico
RA-1156,2023,0.38241577,academico,0.047918256,academico
RA-1157,2023,0.5478025,academico,0.58586156,academico
RA-1158,2023,0.26392108,academico,,
RA-1159,2023,0.44030407,engajamento,,
RA-116,2023,0.36449653,academico,0.01858306,academico
RA-1160,2023,0.20819649,engajamento,0.78018767,academico
RA-1161,2023,0.13179733,academico,,
RA-1162,2023,0.21829234,academico,0.027283285,academico
RA-1163,2023,0.18788739,academico,0.009050705,academico
RA-1164,2023,0.79713506,academico,,
RA-1165,2023,0.29381198,academico,0.22549643,academico
RA-1166,2023,0.22044405,engajamento,0.016166868,academico
RA-1167,2023,0.6125933,academico,,
RA-1168,2023,0.29624382,engajamento,0.43468398,academico
RA-1169,2023,0.07705472,academico,0.00906643,academico
RA-1170,2023,0.7333746,academico,0.7645891,academico
RA-1171,2023,0.26789045,engajamento,0.012295423,academico
RA-1172,2023,0.48842525,psicopedagogico,0.011881179,academico
RA-1173,2023,0.10346264,engajamento,0.38295564,academico
RA-1174,2023,0.20095369,academico,0.012539429,academico
RA-1175,2023,0.9721664,engajamento,,
RA-1176,2023,0.03989703,academico,0.023151798,academico
RA-1177,2023,0.019163702,academico,0.15064166,academico
RA-1178,2023,0.2630328,academico,0.020077726,academico
RA-1179,2023,0.10693183,academico,,
RA-1180,2023,0.4466503,academico,,
RA-1181,2023,0.2425097,academico,0.874938,academico
RA-1182,2023,0.7943574,engajamento,,
RA-1183,2023,0.4702287,engajamento,,
RA-1184,2023,0.15596278,engajamento,0.0042607486,academico
RA-1185,2023,0.040747996,academico,,
RA-1186,2023,0.10762605,engajamento,,
RA-1187,2023,0.7492261,academico,,
RA-1188,2023,0.1357516,academico,0.057277337,academico
RA-1189,2023,0.1854738,academico,0.5771997,academico
RA-119,2023,0.14317349,academico,0.1410841,academico
RA-1190,2023,0.19712223,academico,,
RA-1191,2023,0.8183854,academico,,
RA-1192,2023,0.4310737,engajamento,,
RA-1193,2023,0.44766307,academico,0.73764545,academico
RA-1194,2023,0.2835244,academico,,
RA-1195,2023,0.2356875,engajamento,0.020625992,academico
RA-1196,2023,0.19312418,engajamento,,
RA-1197,2023,0.32371408,academico,,
RA-1198,2023,0.100312665,psicopedagogico,0.012742651,academico
RA-1199,2023,0.18659817,engajamento,0.0060369093,academico
RA-12,2023,0.3000752,academico,0.10745367,academico
RA-1200,2023,0.82816947,engajamento,0.5354542,academico
RA-1201,2023,0.015877852,engajamento,0.062019452,academico
RA-1202,2023,0.80916244,academico,,
RA-1203,2023,0.13074644,engajamento,0.03223471,academico
RA-1204,2023,0.32306758,engajamento,,
RA-1205,2023,0.4618613,academico,,
RA-1206,2023,0.40268964,engajamento,,
RA-1207,2023,0.4169246,academico,0.6841068,academico
RA-1208,2023,0.73515075,academico,,
RA-1209,2023,0.2905134,engajamento,,
RA-121,2023,0.2771893,engajamento,0.09630604,academico
RA-1210,2023,0.5677089,academico,0.094275355,academico
RA-1211,2023,0.43900466,academico,,
RA-1212,2023,0.15702513,engajamento,,
RA-1213,2023,0.28177118,engajamento,,
RA-1214,2023,0.03021284,engajamento,0.044607718,academico
RA-1215,2023,0.88737726,engajamento,,
RA-1216,2023,0.4793281,contexto,0.003253238,academico
RA-1217,2023,0.84373695,academico,,
RA-1218,2023,0.23705491,academico,,
