ra,ano,turma,pedra,fase,idade,risco_defasagem,driver_defasagem,risco_evasao,driver_evasao,risco_combinado
RA-1336,2024,ALFA M - G0/G1,Ametista,0.0,8.0,0.9522397,contexto,0.9021219,engajamento,0.92718077
RA-474,2024,3L,Agata,3.0,15.0,0.83985215,academico,0.9342782,engajamento,0.8870652
RA-1479,2024,2K,Agata,2.0,12.0,0.8726932,academico,0.8978906,engajamento,0.88529193
RA-821,2024,2A,Agata,2.0,11.0,0.90883666,academico,0.8567956,engajamento,0.88281614
RA-1496,2024,2M,Agata,2.0,12.0,0.89037013,academico,0.8389467,engajamento,0.8646584
RA-638,2024,2P,Agata,2.0,11.0,0.89574546,academico,0.8111878,engajamento,0.85346663
RA-352,2024,4B,Quartzo,4.0,13.0,0.8828705,academico,0.7611533,academico,0.8220119
RA-1099,2024,3G,Ametista,3.0,14.0,0.92312807,academico,0.7162828,academico,0.8197054
RA-1330,2024,ALFA K - G0/G1,Topázio,0.0,8.0,0.9597666,academico,0.66554946,academico,0.8126581
RA-715,2024,2I,Quartzo,2.0,11.0,0.8430138,academico,0.7723735,engajamento,0.80769366
RA-1477,2024,2K,Ametista,2.0,11.0,0.8889441,academico,0.70389974,academico,0.7964219
RA-1095,2024,3D,Agata,3.0,14.0,0.870242,academico,0.7193938,academico,0.7948179
RA-1546,2024,3N,Agata,3.0,14.0,0.80761933,academico,0.7764825,academico,0.79205096
RA-1628,2024,6A,Ametista,6.0,16.0,0.8830454,academico,0.6910237,engajamento,0.7870345
RA-1486,2024,2L,Agata,2.0,11.0,0.72972065,academico,0.8412826,engajamento,0.7855016
RA-1564,2024,4B,Quartzo,4.0,15.0,0.6443212,academico,0.9264211,engajamento,0.7853712
RA-422,2024,3K,Quartzo,3.0,14.0,0.8964916,academico,0.64744407,engajamento,0.7719678
RA-1060,2024,2M,Agata,2.0,12.0,0.7340165,academico,0.80738133,engajamento,0.7706989
RA-382,2024,4F,Quartzo,4.0,16.0,0.84508604,academico,0.68672466,engajamento,0.7659054
RA-1514,2024,2U,Ametista,2.0,12.0,0.84490305,academico,0.68440217,academico,0.7646526
RA-1582,2024,4H,Agata,4.0,15.0,0.7950184,academico,0.73145765,academico,0.763238
RA-1423,2024,1J,Agata,1.0,11.0,0.7616201,academico,0.76184666,engajamento,0.7617334
RA-1460,2024,2C,Agata,2.0,12.0,0.8062542,academico,0.71108705,academico,0.7586706
RA-546,2024,3B,Quartzo,3.0,13.0,0.6316462,academico,0.88447344,academico,0.75805986
RA-1076,2024,3A,Ametista,3.0,13.0,0.65159965,academico,0.8633197,academico,0.75745964
RA-1550,2024,3P,Agata,3.0,15.0,0.588354,academico,0.9260805,engajamento,0.7572173
RA-1160,2024,3I,Agata,3.0,14.0,0.8514855,academico,0.6610549,engajamento,0.7562702
RA-1404,2024,1D,Topázio,1.0,9.0,0.9022333,academico,0.6097773,academico,0.7560053
RA-1540,2024,3M,Quartzo,3.0,14.0,0.6366228,academico,0.87319034,engajamento,0.75490654
RA-1319,2024,ALFA J - G2/G3,Ametista,0.0,9.0,0.5799445,contexto,0.9252998,engajamento,0.7526221
RA-1377,2024,ALFA T - G2/G3,Ametista,0.0,8.0,0.98869133,academico,0.49670368,contexto,0.7426975
RA-1619,2024,5M,Ametista,5.0,15.0,0.95966125,academico,0.5089142,academico,0.73428774
RA-470,2024,4L,Agata,4.0,15.0,0.9270314,academico,0.52680475,academico,0.7269181
RA-1117,2024,3K,Ametista,3.0,12.0,0.7586594,academico,0.6730799,academico,0.71586967
RA-1521,2024,3B,Quartzo,3.0,14.0,0.7948579,academico,0.63518023,academico,0.7150191
RA-390,2024,3G,Agata,3.0,13.0,0.69995034,academico,0.72907203,engajamento,0.71451116
RA-1519,2024,3A,Ametista,3.0,15.0,0.5891875,academico,0.8365598,engajamento,0.71287364
RA-1499,2024,2N,Ametista,2.0,12.0,0.59745634,academico,0.8239512,academico,0.71070373
RA-1528,2024,3D,Ametista,3.0,13.0,0.7238214,academico,0.69692963,academico,0.71037555
RA-1372,2024,ALFA T - G2/G3,Ametista,0.0,8.0,0.9688749,academico,0.44755566,academico,0.70821524
RA-1509,2024,2R,Ametista,2.0,11.0,0.76596296,academico,0.6503931,academico,0.70817804
RA-1322,2024,ALFA K - G0/G1,Topázio,0.0,8.0,0.83374584,academico,0.58205837,engajamento,0.7079021
RA-1318,2024,ALFA I - G2/G3,Agata,0.0,8.0,0.95830226,academico,0.45738134,academico,0.7078418
RA-649,2024,3R,Agata,3.0,14.0,0.5335807,academico,0.87830645,engajamento,0.7059436
RA-597,2024,2L,Ametista,2.0,11.0,0.9351133,academico,0.4711503,contexto,0.7031318
RA-1595,2024,4R,Agata,4.0,14.0,0.9561049,academico,0.44838572,academico,0.7022453
RA-1530,2024,3F,Quartzo,3.0,13.0,0.848168,academico,0.555666,engajamento,0.70191705
RA-636,2024,2P,Agata,2.0,12.0,0.6959707,academico,0.7077579,engajamento,0.7018643
RA-1381,2024,ALFA U - G2/G3,Topázio,0.0,8.0,0.93918407,academico,0.4610106,academico,0.7000973
RA-1520,2024,3B,Ametista,3.0,14.0,0.76623505,academico,0.6296623,academico,0.6979487
RA-631,2024,3L,Agata,3.0,14.0,0.5814469,academico,0.80862284,academico,0.69503486
RA-458,2024,3P,Quartzo,3.0,15.0,0.5077147,academico,0.87949365,engajamento,0.6936042
RA-1607,2024,5D,Quartzo,5.0,16.0,0.415469,academico,0.9635855,engajamento,0.6895273
RA-1400,2024,1B,Ametista,1.0,9.0,0.930673,academico,0.4431737,academico,0.6869234
RA-1450,2024,1R,Ametista,1.0,9.0,0.9029018,academico,0.46616814,engajamento,0.68453497
RA-1483,2024,2K,Ametista,2.0,11.0,0.76198983,academico,0.6055348,psicopedagogico,0.6837623
RA-1136,2024,3R,Quartzo,3.0,14.0,0.49467286,academico,0.87199575,engajamento,0.6833343
RA-40,2024,7A,Ametista,7.0,18.0,0.49956337,academico,0.86650044,academico,0.6830319
RA-1346,2024,ALFA N - G2/G3,Ametista,0.0,8.0,0.9751806,academico,0.39012927,contexto,0.682655
RA-1488,2024,2L,Agata,2.0,11.0,0.5602799,academico,0.8034496,academico,0.68186474
RA-484,2024,3A,Quartzo,3.0,13.0,0.39292768,academico,0.96713924,academico,0.68003345
RA-1588,2024,4L,Ametista,4.0,14.0,0.8597877,academico,0.49483413,academico,0.67731094
RA-620,2024,3U,Quartzo,3.0,14.0,0.6121292,academico,0.7396669,engajamento,0.6758981
RA-923,2024,1D,Ametista,1.0,9.0,0.57086307,academico,0.7801815,academico,0.6755223
RA-455,2024,3U,Ametista,3.0,14.0,0.69273114,academico,0.6531203,academico,0.6729257
RA-1500,2024,2N,Ametista,2.0,11.0,0.8872332,academico,0.45831284,academico,0.672773
RA-1356,2024,ALFA Q - G2/G3,Ametista,0.0,8.0,0.9731371,academico,0.37079263,contexto,0.6719649
RA-573,2024,3G,Ametista,3.0,13.0,0.8856413,academico,0.45806077,contexto,0.67185104
